Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-467.71606	399.14816	330.20505	-678.4815	5.8	-0.11378951	0.060881194	-0.039712787	-0.21166317	30	0.13360412	314369.5	0.0	-1321.1875	0.9189382	0.22117268	0.8666667	0.0	527.8686122894287
1	-97.0637	575.99	521.8518	-681.07025	4.1666665	-1.6124011	0.21614511	-1.3152629	-1.9532431	60	0.14786264	269437.88	0.0	-1304.625	0.9189382	0.22576651	0.8333333	0.0	1094.6917808055878
2	-247.87798	524.5594	456.65848	-687.8608	5.2	-3.9079318	0.1225965	-3.7450397	-4.3397036	90	0.109257914	263188.16	0.0	-1190.6875	0.9189382	0.08920331	0.6666667	0.0	1623.735060930252
3	-85.96335	585.50256	510.53778	-691.5265	3.625	-6.2190976	0.1827763	-5.6760144	-6.4004455	120	0.005632633	331630.06	0.0	-1766.9688	0.9189382	0.112460405	0.16666667	0.0	2252.45427274704
4	-126.92407	537.56213	481.97717	-689.2287	4.8333335	-8.4705925	0.0740935	-8.329304	-8.611406	150	-7.847945e-08	275771.84	-0.027970346	-531.28125	0.9189382	0.015040263	0.06666667	44.0	2791.7193155288696
5	-129.38954	545.4094	472.4449	-688.61847	4.8333335	-9.72565	0.106222495	-9.411165	-9.800267	180	1.7881394e-08	279688.12	-0.03810686	-489.5625	0.9282075	0.016378524	0.06666667	50.0	3333.253258228302
6	-177.31587	579.9722	506.19003	-686.64246	4.142857	-10.857439	0.058311827	-10.705885	-10.920922	210	1.2119611e-07	328049.5	-0.010340595	-1521.9062	0.936344	0.015066758	0.033333335	17.0	3881.958556175232
7	-117.812355	562.9367	503.54544	-685.1868	4.3333335	-12.815044	0.051806293	-12.63617	-12.853725	240	1.8874804e-08	263829.12	-0.009928989	-711.0625	0.93640465	0.015793215	0.13333334	18.0	4444.912051677704
8	-29.655788	555.0151	506.52936	-679.7635	4.0	-14.086292	0.22382757	-13.137003	-14.198467	270	1.1920929e-08	270841.06	-0.03462052	-537.09375	0.9339728	-0.019614208	0.13333334	79.0	4996.507306575775
9	-85.31191	574.1641	502.8878	-673.5698	4.1666665	-15.236404	0.037136164	-15.1493845	-15.279959	300	-2.9802323e-09	264932.78	-0.029877543	-650.53125	0.9372696	0.015078949	0.33333334	26.0	5545.86144733429
10	-276.1852	500.26917	347.86002	-694.25055	5.6	-16.534191	0.029221896	-16.47931	-16.561588	330	5.6624412e-08	259215.61	-0.032356285	-559.15625	0.9354171	-0.026226513	0.2	79.0	6062.81382226944
11	-106.376396	546.48627	501.98492	-677.6855	4.5	-17.741333	0.029390473	-17.680563	-17.777905	360	-2.7815501e-08	259807.56	-0.0543615	-524.125	0.92559254	0.015000736	0.36666667	39.0	6608.349946737289
12	137.42166	495.72037	507.69702	-657.92395	3.857143	-18.919714	0.013968238	-18.901386	-18.94569	390	3.3527613e-08	238502.48	-0.007306491	-2.046875	0.93275386	0.015007458	0.033333335	79.0	7162.851829528809
