Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
170	264.7473	423.43835	505.18942	-593.16077	2.8	5099	107.93066	80.70534	334.73746	-1.4651375	95.47149	69.2598	271.22015	12.470139	-125.18923	139394.86	628.0119814872742
171	57.196495	526.734	508.457	-599.2814	3.0	5129	68.75413	54.33208	238.77957	-15.737817	73.45309	52.163967	215.34717	6.936309	-83.63293	139906.05	1259.7102572917938
172	486.81345	40.570343	517.44995	342.1827	2.0	5159	78.752174	60.297993	274.65637	-14.397309	78.44411	54.647404	230.38966	8.830665	-95.6396	154890.47	2040.2462058067322
173	344.6221	322.03107	505.63632	-554.5214	3.0	5189	88.85028	67.97673	286.32843	-3.9912944	84.490974	59.890083	249.40611	13.138099	-105.58184	143659.05	2612.7363245487213
174	128.07924	462.8379	520.0767	-607.61414	4.142857	5219	82.97144	60.49556	282.57468	-6.7218204	82.62438	55.04319	247.51427	13.759711	-95.52914	132714.8	3177.9849922657013
175	385.04123	298.1782	522.3534	-589.65436	2.5	5249	87.24579	61.12461	297.86642	-2.739417	84.548195	54.962605	254.65211	14.051834	-101.54681	134681.67	3822.0223546028137
176	343.2219	319.39627	503.9043	-599.2058	3.2	5279	85.32682	58.912792	303.2744	1.8266512	80.66286	51.812885	254.41129	13.721777	-99.85596	127876.234	4451.863421201706
177	392.95166	288.26376	508.67035	-596.7677	2.3076923	5309	91.458466	63.74322	318.2157	3.2106671	85.03313	56.627407	266.3967	-0.83882	-106.025955	136354.08	5116.681405305862
178	109.09772	496.997	504.84915	-596.9637	3.3333333	5339	95.91215	66.98619	322.5346	13.092505	89.020096	59.986153	270.5876	1.8962226	-113.63116	134295.78	5704.1457986831665
179	226.14796	469.80347	528.1723	-590.12775	2.6666667	5369	94.17341	63.504044	325.34464	10.103341	89.68873	58.316006	272.87585	6.51407	-106.99859	143424.72	6342.249046087265
180	404.70544	276.2894	511.0285	-549.7972	2.3076923	5399	95.56204	63.096497	324.1005	4.522402	93.36731	59.475086	274.64948	8.788688	-106.102684	133235.36	7006.68470788002
181	258.73175	428.5574	514.33185	-601.03204	2.9	5429	100.37973	65.970055	334.75992	12.834501	95.01896	60.688797	279.9855	11.753141	-114.75286	134290.34	7616.880312681198
182	353.96997	321.4195	503.48108	-598.4637	2.9	5459	103.53313	67.44072	339.81708	-46.199074	98.193375	62.54888	283.75775	-9.564244	-118.860825	136551.53	8247.6902987957
183	412.67035	271.64444	508.2232	-591.2483	2.0666666	5489	104.52355	65.88412	341.14496	-44.94211	98.99997	61.76121	287.068	-8.027675	-118.37273	137322.61	8963.728198051453
184	474.67807	31.396166	513.8251	414.64532	2.4166667	5519	109.382706	67.99026	343.15463	-38.039337	102.46165	63.639454	302.572	-6.330672	-125.377975	131967.9	9613.736624240875
185	242.0365	420.9204	507.99252	-595.48676	3.2	5549	112.30428	66.825264	349.26038	-36.10574	105.31678	63.3776	308.43063	-5.602488	-122.66809	130796.17	10223.597548484802
186	328.59705	380.71478	504.6784	-583.4889	2.2307692	5579	117.96687	69.93094	355.1706	-25.912853	108.26497	65.02774	313.4063	0.45085096	-131.8556	133003.73	10867.26272392273
187	476.78354	26.437214	504.10394	404.165	2.2142856	5609	123.541336	69.217834	358.62085	-20.172901	113.360634	65.09848	318.17233	2.688097	-135.62341	126524.336	11568.937106370926
188	369.78845	322.41528	509.92004	-593.0679	2.8	5639	122.62097	67.074875	355.48593	-18.510414	114.22041	64.216545	324.84204	2.3925073	-137.07895	125164.6	12216.409174919128
189	305.24347	402.48804	505.21777	-602.54926	2.5	5669	122.697334	65.80272	362.9412	-16.804556	113.46593	62.91267	326.50174	2.545013	-134.96118	128287.24	12844.176500797272
190	475.3681	44.072823	510.6248	345.49472	2.2857144	5699	130.23584	68.78669	372.05127	-8.052542	119.27152	65.236115	337.31305	5.726778	-144.31366	126846.51	13528.136869192123
191	155.0633	494.00037	510.9205	-606.4896	2.9	5729	131.43585	64.97682	366.53644	-6.9335203	121.71616	63.27866	338.93768	7.190541	-146.76357	123601.086	14134.917435407639
192	401.92972	275.3757	507.61572	-574.8336	2.142857	5759	135.47105	66.817154	364.6032	-4.571069	125.596664	65.47265	345.58923	7.9681926	-150.52287	121297.0	14808.984155654907
193	389.6992	290.367	506.17697	-599.45135	2.3846154	5789	135.80103	64.894936	366.19922	-5.070548	126.7774	64.60548	346.78693	6.669545	-148.90132	118668.97	15475.012001991272
194	479.66315	38.927395	522.9993	386.0804	2.142857	5819	141.62715	68.60364	374.19766	-4.1720066	131.60414	67.17678	354.07593	7.4371176	-154.52573	120397.49	16158.85547542572
195	231.24031	436.52377	526.63525	-585.6386	3.1111112	5849	148.71292	68.87131	387.5737	4.865606	137.34534	67.14212	361.17038	15.163531	-163.37875	118135.375	16750.749253749847
196	378.94775	298.59232	508.25916	-601.72894	2.6666667	5879	150.9973	68.33271	384.5844	5.8659286	140.47589	67.809166	367.17645	18.714306	-163.56693	123945.4	17398.957089424133
197	391.18082	298.6473	528.3341	-593.7324	2.4166667	5909	151.11624	64.77825	381.86902	9.67737	142.05658	65.7386	366.854	25.91038	-165.27512	115927.85	18063.227128505707
198	467.50412	45.130714	508.88177	349.39417	2.3333333	5939	156.75812	65.30409	386.18442	10.386519	146.40068	65.853065	371.98923	27.471478	-172.42238	120629.84	18801.851624965668
199	474.1763	33.409214	507.9937	397.3233	2.2142856	5969	157.06319	62.380745	387.81464	17.618034	147.40544	63.970875	376.87662	34.190933	-173.32564	112646.52	19502.718645095825
200	349.1325	317.82822	505.3784	-599.75323	3.1	5999	165.30075	66.46278	397.82468	22.665375	154.20815	67.17868	385.25476	38.320335	-180.50897	107594.27	20149.85216665268
