Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-137.23271	546.76556	483.89865	-713.74896	4.8333335	0.07873844	0.06935728	0.15143001	-0.062741086	30	-0.006072593	285091.6	-0.017783009	-852.71875	0.9189382	-0.013301224	0.13333334	79.0	558.8887801170349
1	-86.033005	582.24066	506.926	-693.095	3.75	-0.83043504	0.90189403	0.7864242	-2.1370726	60	-0.02813731	334254.4	-0.015190436	-2230.75	0.93859303	-0.033846762	0.26666668	79.0	1120.9470987319946
2	-482.87933	397.32083	311.46277	-701.30725	5.8	-4.1411223	0.4275504	-3.1666214	-4.419941	90	0.007882003	313336.2	0.0	-2101.7812	0.92439324	0.122790545	0.43333334	0.0	1634.7328491210938
3	-440.28418	472.47543	502.55005	-712.77716	5.0	-6.6692905	0.13688464	-6.4003654	-6.7953916	120	0.0007513205	298682.22	-0.006546473	-2007.5312	0.92439324	0.015413919	0.0	5.0	2152.194162607193
4	-663.94635	34.74337	-595.50165	-692.33453	6.0	-8.75996	0.084201336	-8.623611	-8.8603115	150	-2.2649765e-07	357585.06	-0.020174049	-2497.0	0.92237294	-0.048449636	0.23333333	79.0	2688.1576583385468
5	-448.19092	456.89575	465.5312	-685.8932	5.4	-10.884598	0.021794358	-10.826446	-10.906238	180	3.973643e-09	308597.47	-0.01660978	-1262.5938	0.92388916	-0.018632714	0.06666667	79.0	3223.8959617614746
6	-300.2724	533.5467	500.73953	-694.78973	4.8333335	-12.3607435	0.016922247	-12.314834	-12.377537	210	-1.4106432e-07	314303.44	-0.014427076	-1037.5312	0.88679755	0.0036034116	0.1	79.0	3777.55478310585
7	-105.05961	575.3143	507.9641	-683.37964	4.1666665	-13.682113	0.0060187327	-13.667069	-13.687865	240	-9.934108e-10	268244.16	-0.012601186	-487.28125	0.91599655	-0.013355545	0.16666667	79.0	4317.973345041275
8	-287.1074	540.82227	514.30273	-685.6327	4.8333335	-14.609216	0.017085016	-14.545898	-14.624449	270	3.1789146e-08	314819.62	-0.034187723	-1008.09375	0.90148026	0.005943337	0.3	79.0	4858.200134038925
9	-80.287895	568.6299	505.49127	-675.2274	4.1666665	-15.916749	0.01347834	-15.868059	-15.925425	300	4.3710074e-08	265155.6	-0.008442478	-482.9375	0.8952941	-0.020480251	0.13333334	79.0	5397.28742313385
10	-449.2788	429.45148	409.14114	-683.52527	5.6	-16.865955	0.015250754	-16.827744	-16.88051	330	8.742015e-08	298185.72	-0.03246573	-1132.0938	0.90122044	-0.00018562774	0.36666667	79.0	5916.548825740814
11	-427.8541	466.25714	504.20786	-686.1361	5.0	-18.269798	0.008051143	-18.254604	-18.27995	360	3.973643e-09	284805.44	-0.020574426	-1493.4375	0.8841127	0.015268328	0.16666667	23.0	6437.852801799774
12	-12.822968	564.1006	501.21667	-677.04913	4.0	-19.887016	0.008914657	-19.858192	-19.8923	390	1.291434e-08	281884.22	-0.016853394	-286.40625	0.8828138	0.015593076	0.1	21.0	6994.046245098114
13	194.84753	478.59195	507.1911	-674.98267	3.5	-20.65551	0.010282888	-20.621904	-20.6642	420	5.2154063e-09	250317.94	-0.025820158	-2.34375	0.8812791	-0.023322523	0.1	79.0	7622.469026327133
14	-279.943	551.7102	501.52155	-675.5886	4.5	-20.6381	0.009671209	-20.619753	-20.647131	450	3.576279e-08	301108.97	-0.029902117	-1161.5312	0.8960367	0.015114578	0.26666668	52.0	8192.771849632263
15	118.11678	472.5858	490.38693	-693.8122	4.285714	-22.035872	0.011987212	-22.004004	-22.049019	480	-3.1789146e-08	234702.2	-0.014991306	4.515625	0.88225806	0.011185793	0.06666667	79.0	8737.653053760529
16	-22.431417	553.3915	504.01117	-667.48596	4.0	-22.11176	0.0062100273	-22.094793	-22.118652	510	2.9802322e-08	271856.56	-0.017958913	-253.125	0.9032804	0.0020226608	0.033333335	79.0	9332.342870473862
17	-129.22845	535.035	508.51526	-670.2816	4.8333335	-22.782738	0.00938926	-22.753641	-22.792141	540	-4.4703484e-08	260172.95	-0.01735162	-322.73438	0.8859611	0.015087345	0.1	12.0	9869.666261672974
18	-446.61688	465.67386	484.05872	-707.37695	5.2	-23.613214	0.007011524	-23.583862	-23.617474	570	-7.947286e-09	289303.2	-0.006937929	-1495.6562	0.8827782	0.015632443	0.0	5.0	10379.704953670502
19	-43.62043	563.66943	510.43353	-710.7454	4.285714	-25.333973	0.0043844925	-25.319672	-25.338505	600	5.9604646e-09	296995.62	-0.00487659	-309.25	0.88125247	0.015539555	0.033333335	8.0	10910.74984574318
20	155.52562	508.15546	492.30267	-671.1533	3.5714285	-26.20407	0.0040429183	-26.19167	-26.207424	630	-4.284084e-08	234045.72	-0.004555348	-10.21875	0.87830204	0.015916152	0.0	25.0	11503.802053689957
21	304.41034	377.38458	512.7857	-684.0961	3.5	-26.390263	0.0054208944	-26.375765	-26.394535	660	8.940697e-09	222040.97	-0.008653425	-355.20312	0.8780498	0.018168354	0.0	6.0	12082.395337104797
22	97.50254	551.9906	511.95618	-686.3225	3.3333333	-25.549923	0.010084102	-25.513285	-25.554457	690	2.1855037e-08	310632.97	-0.047475275	-176.65625	0.8759836	0.016496748	0.23333333	17.0	12660.927747249603
23	2.1869943	574.01324	514.6912	-681.70337	3.5714285	-26.08252	0.01487408	-26.043844	-26.099983	720	1.1920929e-08	263594.56	-0.0134885665	-545.21875	0.8719463	0.019474166	0.0	13.0	13236.959538698196
24	-18.844055	540.10974	506.2369	-665.1562	4.142857	-27.214756	0.00893606	-27.18419	-27.221462	750	3.1789146e-08	263231.84	-0.007198539	-292.75	0.8685208	0.015679497	0.0	4.0	13812.99869632721
25	-286.11868	511.59854	503.88568	-692.4631	4.8333335	-28.068968	0.016489763	-28.032873	-28.089115	780	-7.152558e-08	283103.34	-0.0054062065	-1250.25	0.86746365	0.021403067	0.0	3.0	14348.459058761597
26	-317.5157	526.788	508.66608	-704.2473	5.0	-29.774689	0.004982121	-29.76366	-29.777817	810	1.5099843e-07	306378.6	-0.020784017	-1390.5	0.8670235	0.0050872117	0.1	79.0	14870.845756053925
27	53.49956	508.31647	502.22427	-675.4243	4.1666665	-31.583807	0.002938419	-31.571957	-31.585258	840	-2.7318796e-09	213468.23	-0.026393	-59.21875	0.8341013	-0.006795551	0.2	79.0	15447.430974006653
28	-659.69617	12.071404	-645.945	-681.0415	6.0	-32.05177	0.0017971317	-32.04836	-32.05299	870	2.2252401e-07	328815.16	-0.030398654	-2587.1562	0.8300036	-0.042266317	0.26666668	79.0	15966.403696537018
29	-13.683751	563.78174	506.5844	-690.5942	3.7142856	-34.350384	0.004194121	-34.33873	-34.35343	900	-1.9868216e-08	260681.55	-0.016416537	-466.875	0.8217538	0.016281415	0.0	12.0	16522.17988729477
30	-271.00095	539.4826	514.0654	-666.7317	4.6666665	-35.450207	0.0023747515	-35.444725	-35.45221	930	3.1789146e-08	284318.88	-0.02611443	-1154.2812	0.8216166	0.014811655	0.16666667	79.0	17096.03866791725
