Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-169.5175	585.18494	509.39606	-687.4513	4.0	0.12124772	0.020775154	0.15989208	0.09033615	30	-0.0023338497	328098.78	-0.015738817	-1568.5	0.9189382	-0.01654775	0.06666667	79.0	630.448897600174
1	-112.44037	554.34875	493.76236	-673.02405	4.5	-1.6631427	0.15901904	-1.3498834	-1.8217314	60	0.026847558	265851.88	-0.04032128	-1023.0625	0.94107383	-0.0038277188	0.1	79.0	1258.4139835834503
2	-292.7205	560.1658	505.4469	-702.3488	4.5	-3.809548	0.103933305	-3.4455247	-3.8796823	90	-0.0024508913	325995.9	-0.030826997	-2228.0625	0.9302653	-0.024754794	0.3	79.0	1870.0297615528107
3	-122.533714	546.2209	447.41406	-672.82385	5.0	-6.0236416	0.4387099	-4.898943	-6.42764	120	-0.013932588	286409.8	-0.028618256	-465.3125	0.90812695	-0.003436454	0.1	79.0	2449.443806886673
4	-13.551505	593.8852	523.97546	-709.4214	3.857143	-7.23567	0.19682755	-6.9218307	-7.488067	150	2.9802323e-09	292191.38	-0.049077686	-594.28125	0.8643455	-0.016060783	0.2	79.0	3061.408618450165
5	-84.88135	576.55334	518.41547	-678.53894	4.1666665	-8.493822	0.083469465	-8.136486	-8.59861	180	1.8874804e-08	269408.56	-0.041527826	-810.09375	0.87026066	0.015625453	0.23333333	32.0	3657.3864135742188
6	-293.58234	549.4825	523.8072	-698.5647	5.0	-10.010528	0.023573197	-9.964556	-10.048609	210	-2.1855037e-08	344604.62	-0.027062664	-1526.6875	0.8541493	-0.001794681	0.2	79.0	4270.184497117996
7	-691.13776	8.706746	-681.27057	-704.2785	6.0	-11.944929	0.0093451785	-11.93177	-11.963455	240	-1.7007192e-06	366473.66	-0.07924016	-2903.2188	0.8222865	0.019156165	0.36666667	9.0	4833.507642745972
8	-169.40866	571.3623	507.77603	-689.71985	4.142857	-14.386944	0.0096154595	-14.3651085	-14.405096	270	-1.1920929e-08	322892.06	-0.0060462295	-1200.7812	0.82333815	0.015849328	0.0	3.0	5461.403167009354
9	-104.99093	559.2258	534.4897	-678.3833	4.3333335	-15.959162	0.0037029446	-15.951423	-15.967358	300	4.8677126e-08	250386.3	-0.027512396	-485.5	0.8236885	-0.009067762	0.2	79.0	6057.738657236099
10	165.61566	482.09964	552.4274	-663.92633	3.75	-16.966259	0.0034437107	-16.957788	-16.970707	330	3.973643e-09	253706.97	-0.009092207	1.46875	0.8098749	0.015486791	0.0	10.0	6670.452129840851
11	-22.026049	567.9089	507.63858	-681.44684	4.0	-17.000334	0.0055962782	-16.989723	-17.010086	360	3.4769375e-08	283850.97	-0.025125455	-288.65625	0.8092256	0.015366131	0.2	22.0	7295.646100997925
12	308.83643	386.73495	500.86108	-706.31226	3.25	-17.747837	0.0051044696	-17.737465	-17.753717	390	-1.5894573e-08	213637.42	-0.026752498	-195.95312	0.80170494	-0.009211802	0.16666667	79.0	7926.7745633125305
13	-118.40203	566.09045	503.19135	-684.7703	4.1666665	-17.15904	0.0059808306	-17.147326	-17.168201	420	4.9670536e-08	264061.88	-0.059046596	-606.34375	0.7852784	-0.009576321	0.2	79.0	8517.335862398148
14	63.70521	508.92133	479.1567	-663.7253	4.3333335	-18.237831	0.0059539676	-18.227303	-18.246521	450	4.2965016e-08	225328.81	-0.013255359	-37.5	0.8253518	0.015275197	0.0	6.0	9129.479372024536
15	148.78719	522.87506	530.2425	-699.0647	3.5714285	-18.605433	0.004961791	-18.591965	-18.612118	480	-5.3395826e-09	242460.58	-0.04330522	-46.09375	0.8262921	0.015105496	0.2	48.0	9774.331954956055
16	-26.921865	560.0297	518.86316	-692.7995	4.285714	-18.940891	0.0037936415	-18.93338	-18.948723	510	3.576279e-08	292724.56	-0.016587537	-305.34375	0.8118223	0.015833689	0.1	15.0	10402.526787281036
17	-255.5651	510.2	419.20966	-683.84924	5.4	-19.808939	0.0033616454	-19.802551	-19.814173	540	-1.9868216e-09	256256.73	-0.031777598	-568.0	0.80836046	0.018122287	0.13333334	13.0	10997.903889656067
18	-150.95682	579.2421	560.46783	-676.0	4.142857	-21.027521	0.0026104138	-21.022987	-21.032331	570	1.13248824e-07	312857.97	-0.04008446	-1356.125	0.80637795	-0.01162736	0.16666667	79.0	11626.495317935944
19	-177.42459	569.7774	502.8345	-691.50287	4.142857	-22.87374	0.00250934	-22.87004	-22.87814	600	2.582868e-08	311537.3	-0.0070674554	-1419.3125	0.8007544	0.016115759	0.06666667	18.0	12255.058105230331
20	138.99365	502.46942	502.0422	-652.4799	3.857143	-24.753637	0.002194363	-24.749176	-24.756996	630	-1.8129747e-08	245134.64	-0.017615948	-1.375	0.79875624	0.01657466	0.2	12.0	12858.86509680748
21	-165.64876	554.8818	505.35385	-652.6665	4.285714	-24.974728	0.0024889163	-24.970434	-24.978176	660	-5.165736e-08	317389.38	-0.07657015	-1199.5312	0.7971433	0.006017983	0.43333334	79.0	13443.030097961426
22	143.2981	498.53387	507.2701	-646.9941	3.857143	-26.61018	0.0016634534	-26.607248	-26.613987	690	1.5894573e-08	237988.23	-0.016797297	-2.234375	0.80351126	-0.0014870465	0.033333335	79.0	14101.978249073029
23	-274.47958	550.29944	505.43808	-675.18115	4.3333335	-26.836798	0.0020998954	-26.83227	-26.840097	720	-5.9604645e-08	280190.4	-0.029453456	-1567.1562	0.7751319	-0.011675336	0.06666667	79.0	14713.96019911766
24	-428.3178	445.78613	462.2128	-682.97235	5.6	-28.699877	0.0015744524	-28.69662	-28.702797	750	-1.1523564e-07	294137.2	-0.026751982	-1447.0938	0.774201	0.000627315	0.26666668	79.0	15327.013004541397
25	130.50449	503.10294	506.87827	-680.40686	4.0	-30.56139	0.0012034298	-30.55907	-30.563238	780	1.2169282e-08	242739.72	-0.030361336	4.015625	0.75030196	-0.0016770383	0.13333334	79.0	15956.177738428116
26	-276.69968	540.5876	490.29254	-674.6661	4.8333335	-30.709448	0.0012872915	-30.706928	-30.7112	810	-4.9670536e-08	311786.8	-0.006164777	-1176.1562	0.7169779	0.01672216	0.0	7.0	16568.000544786453
27	-436.97137	449.60806	461.56482	-685.41614	5.6	-32.28653	0.0010915288	-32.284603	-32.288677	840	-5.165736e-08	302029.16	-0.007270499	-1454.7812	0.7150352	0.017652899	0.0	7.0	17179.875705957413
